,country,org_type,flow_type,transaction_type,year,quarter,month,aggregate_type,variable,value,timeframe,measure
25,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
26,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
27,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,1,3,Specific donor,Volume,0.768850646,Monthly,Country income
28,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
29,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,2,5,Specific donor,Volume,215.7443458,Monthly,Country income
30,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,2,6,Specific donor,Volume,9.682607386,Monthly,Country income
31,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,3,7,Specific donor,Volume,0,Monthly,Country income
32,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,3,8,Specific donor,Volume,0.595421,Monthly,Country income
33,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
34,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,4,10,Specific donor,Volume,0.490499609,Monthly,Country income
35,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
36,African Development Bank Group,African Development Bank Group,High-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
61,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,1,1,Specific donor,Volume,32.07829638,Monthly,Country income
62,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,1,2,Specific donor,Volume,140.5913894,Monthly,Country income
63,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,1,3,Specific donor,Volume,347.0504865,Monthly,Country income
64,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,2,4,Specific donor,Volume,1.3847,Monthly,Country income
65,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,2,5,Specific donor,Volume,4.1541,Monthly,Country income
66,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,2,6,Specific donor,Volume,395.0769326,Monthly,Country income
67,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,3,7,Specific donor,Volume,653.5784,Monthly,Country income
68,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,3,8,Specific donor,Volume,313.883796,Monthly,Country income
69,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
70,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,4,10,Specific donor,Volume,194.5709291,Monthly,Country income
71,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,4,11,Specific donor,Volume,111.6843041,Monthly,Country income
72,African Development Bank Group,African Development Bank Group,Low-income,Commitments,2020,4,12,Specific donor,Volume,242.1078892,Monthly,Country income
97,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,1,1,Specific donor,Volume,729.8330931,Monthly,Country income
98,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,1,2,Specific donor,Volume,291.2174969,Monthly,Country income
99,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,1,3,Specific donor,Volume,757.3441953,Monthly,Country income
100,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,2,4,Specific donor,Volume,527.114021,Monthly,Country income
101,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,2,5,Specific donor,Volume,215.7347658,Monthly,Country income
102,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,2,6,Specific donor,Volume,990.5288837,Monthly,Country income
103,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,3,7,Specific donor,Volume,406.8094672,Monthly,Country income
104,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,3,8,Specific donor,Volume,107.7365835,Monthly,Country income
105,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,3,9,Specific donor,Volume,118.5737572,Monthly,Country income
106,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,4,10,Specific donor,Volume,280.9541179,Monthly,Country income
107,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,4,11,Specific donor,Volume,279.2309936,Monthly,Country income
108,African Development Bank Group,African Development Bank Group,Lower middle-income,Commitments,2020,4,12,Specific donor,Volume,147.4694259,Monthly,Country income
133,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
134,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,1,2,Specific donor,Volume,76.88773208,Monthly,Country income
135,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,1,3,Specific donor,Volume,209.670696,Monthly,Country income
136,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
137,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,2,5,Specific donor,Volume,0,Monthly,Country income
138,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
