"","country","org_type","flow_type","transaction_type","year","aggregate_type","variable","value"
"1","African Development Bank Group","African Development Bank Group","Agriculture & food security","Commitments","2018","Donor","Volume",1365.75547817422
"2","African Development Bank Group","African Development Bank Group","Agriculture & food security","Commitments","2019","Donor","Volume",1057.24830842532
"3","African Development Bank Group","African Development Bank Group","Agriculture & food security","Commitments","2020","Donor","Volume",532.553412331249
"4","African Development Bank Group","African Development Bank Group","Agriculture & food security","Disbursements","2018","Donor","Volume",502.817772348308
"5","African Development Bank Group","African Development Bank Group","Agriculture & food security","Disbursements","2019","Donor","Volume",604.66026998696
"6","African Development Bank Group","African Development Bank Group","Agriculture & food security","Disbursements","2020","Donor","Volume",413.858803519683
"7","African Development Bank Group","African Development Bank Group","Business & industry","Commitments","2018","Donor","Volume",821.455953149838
"8","African Development Bank Group","African Development Bank Group","Business & industry","Commitments","2019","Donor","Volume",1256.0842445785
"9","African Development Bank Group","African Development Bank Group","Business & industry","Commitments","2020","Donor","Volume",519.804815719491
"10","African Development Bank Group","African Development Bank Group","Business & industry","Disbursements","2018","Donor","Volume",12.968259235641
"11","African Development Bank Group","African Development Bank Group","Business & industry","Disbursements","2019","Donor","Volume",149.76398365544
"12","African Development Bank Group","African Development Bank Group","Business & industry","Disbursements","2020","Donor","Volume",85.012511117701
"13","African Development Bank Group","African Development Bank Group","Education","Commitments","2018","Donor","Volume",1213.71377714322
"14","African Development Bank Group","African Development Bank Group","Education","Commitments","2019","Donor","Volume",1339.89595944257
"15","African Development Bank Group","African Development Bank Group","Education","Commitments","2020","Donor","Volume",3199.96567175873
"16","African Development Bank Group","African Development Bank Group","Education","Disbursements","2018","Donor","Volume",1179.06168123798
"17","African Development Bank Group","African Development Bank Group","Education","Disbursements","2019","Donor","Volume",812.578441223472
"18","African Development Bank Group","African Development Bank Group","Education","Disbursements","2020","Donor","Volume",3193.88796438136
"19","African Development Bank Group","African Development Bank Group","Governance & security","Commitments","2018","Donor","Volume",567.623196402674
"20","African Development Bank Group","African Development Bank Group","Governance & security","Commitments","2019","Donor","Volume",436.9975589254
"21","African Development Bank Group","African Development Bank Group","Governance & security","Commitments","2020","Donor","Volume",968.133445609072
"22","African Development Bank Group","African Development Bank Group","Governance & security","Disbursements","2018","Donor","Volume",644.812787838939
"23","African Development Bank Group","African Development Bank Group","Governance & security","Disbursements","2019","Donor","Volume",401.300341307008
"24","African Development Bank Group","African Development Bank Group","Governance & security","Disbursements","2020","Donor","Volume",1045.10721054008
"25","African Development Bank Group","African Development Bank Group","Health","Commitments","2018","Donor","Volume",0.738530919698
"26","African Development Bank Group","African Development Bank Group","Health","Commitments","2019","Donor","Volume",9.3824456
"27","African Development Bank Group","African Development Bank Group","Health","Commitments","2020","Donor","Volume",143.190053323923
"28","African Development Bank Group","African Development Bank Group","Health","Disbursements","2018","Donor","Volume",26.482157326983
"29","African Development Bank Group","African Development Bank Group","Health","Disbursements","2019","Donor","Volume",16.732907504016
"30","African Development Bank Group","African Development Bank Group","Health","Disbursements","2020","Donor","Volume",83.074422990835
"31","African Development Bank Group","African Development Bank Group","Infrastructure","Commitments","2018","Donor","Volume",8091.14093104889
"32","African Development Bank Group","African Development Bank Group","Infrastructure","Commitments","2019","Donor","Volume",3253.0836461457
"33","African Development Bank Group","African Development Bank Group","Infrastructure","Commitments","2020","Donor","Volume",3782.41203286951
"34","African Development Bank Group","African Development Bank Group","Infrastructure","Disbursements","2018","Donor","Volume",1573.06782761396
"35","African Development Bank Group","African Development Bank Group","Infrastructure","Disbursements","2019","Donor","Volume",1709.82577019092
"36","African Development Bank Group","African Development Bank Group","Infrastructure","Disbursements","2020","Donor","Volume",1237.77076872164
"37","African Development Bank Group","African Development Bank Group","Other social services","Commitments","2018","Donor","Volume",0
"38","African Development Bank Group","African Development Bank Group","Other social services","Commitments","2019","Donor","Volume",0
"39","African Development Bank Group","African Development Bank Group","Other social services","Commitments","2020","Donor","Volume",0
"40","African Development Bank Group","African Development Bank Group","Other social services","Disbursements","2018","Donor","Volume",0
"41","African Development Bank Group","African Development Bank Group","Other social services","Disbursements","2019","Donor","Volume",0
"42","African Development Bank Group","African Development Bank Group","Other social services","Disbursements","2020","Donor","Volume",0
"43","African Development Bank Group","African Development Bank Group","Water & sanitation","Commitments","2018","Donor","Volume",735.463194723345
"44","African Development Bank Group","African Development Bank Group","Water & sanitation","Commitments","2019","Donor","Volume",1440.69169972728
"45","African Development Bank Group","African Development Bank Group","Water & sanitation","Commitments","2020","Donor","Volume",2181.46826798183
"46","African Development Bank Group","African Development Bank Group","Water & sanitation","Disbursements","2018","Donor","Volume",426.697413499374
"47","African Development Bank Group","African Development Bank Group","Water & sanitation","Disbursements","2019","Donor","Volume",386.149342744088
"48","African Development Bank Group","African Development Bank Group","Water & sanitation","Disbursements","2020","Donor","Volume",438.777642779967
"49","Asian Development Bank","Asian Development Bank","Agriculture & food security","Commitments","2018","Donor","Volume",1425.13
"50","Asian Development Bank","Asian Development Bank","Agriculture & food security","Commitments","2019","Donor","Volume",1810.9276
"51","Asian Development Bank","Asian Development Bank","Agriculture & food security","Commitments","2020","Donor","Volume",643.32
"52","Asian Development Bank","Asian Development Bank","Agriculture & food security","Disbursements","2018","Donor","Volume",356.42380277
"53","Asian Development Bank","Asian Development Bank","Agriculture & food security","Disbursements","2019","Donor","Volume",425.08851557
"54","Asian Development Bank","Asian Development Bank","Agriculture & food security","Disbursements","2020","Donor","Volume",980.41069112
"55","Asian Development Bank","Asian Development Bank","Business & industry","Commitments","2018","Donor","Volume",1743.5
"56","Asian Development Bank","Asian Development Bank","Business & industry","Commitments","2019","Donor","Volume",2085
